name,category,lat,lng
Gem Plaza,mall,12.9804,77.6046
Manokamana Ceramic,mall,12.9423,77.6080
Market Square Value Mall,mall,12.9219,77.6203
South India Shopping Mall,mall,12.8909,77.5977
HyperCity,mall,12.9579,77.7161
Tibet Mall,mall,12.9338,77.6159
KLM Fashion Mall,mall,12.9568,77.7008
Brand Factory,mall,12.9565,77.6977
Grand Majestic Mall,mall,12.9774,77.5762
Star Bazaar,mall,12.9734,77.6113
Manyavar Mohey,mall,13.0048,77.5694
Kamakshi Silk,mall,13.0006,77.5695
Westside,mall,12.9826,77.6109
Foodworld,supermarket,12.9328,77.5830
Family Mall,supermarket,12.9588,77.6382
Spencers Express,supermarket,12.9592,77.6383
More,supermarket,12.9596,77.6384
Reliance Fresh,supermarket,13.0316,77.6357
Shoba,supermarket,13.0306,77.6349
Smart,supermarket,13.0299,77.6348
Big Bazaar,supermarket,13.0477,77.5743
Fresh Supermarket,supermarket,13.0263,77.6320
Foodworld Supermarket,supermarket,13.0246,77.6370
Nilgiris,supermarket,13.0492,77.5474
Smart Bazaar,supermarket,12.9172,77.5923
Reliance Fresh,supermarket,13.0043,77.5711
Reliance Smart,supermarket,13.0062,77.5694
City Supermarket,supermarket,13.0398,77.5555
Spencers Daily,supermarket,13.0400,77.5556
More,supermarket,13.0224,77.6508
Reliance Fresh,supermarket,13.0068,77.5645
Reliance Fresh,supermarket,13.0342,77.5692
Reliance Fresh,supermarket,13.0290,77.5616
Families Hypermarket,supermarket,12.9187,77.6708
Family Super Market,supermarket,12.9968,77.6045
More,supermarket,12.9998,77.5997
Arafa Stores,supermarket,12.9970,77.6041
Namdhari Fresh Frazer Town,supermarket,13.0010,77.6139
Sri Balaji Stores,supermarket,13.0143,77.5737
Mini Bazaar,supermarket,13.0069,77.6242
More,supermarket,12.9410,77.5447
Big Bazaar,supermarket,12.9266,77.5509
Food World,supermarket,12.9255,77.5502
Ragam Supermarket,supermarket,12.9644,77.7136
Smart Point,supermarket,12.9656,77.7018
New City Super Market,supermarket,12.9852,77.6736
Reliance Fresh,supermarket,12.9859,77.6689
Nilgiri's,supermarket,12.9860,77.6689
